Country,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Meat,Miscellaneous,Milk - Excluding Butter,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population),,,,,
Peru,1.1055,0,5.5879,2.1206,1.9497,6.8241,0.0302,5.608,19.6482,0.4523,19.1,9.7,3.573741774,0.127751036,3.310513649,0.13547709,32824000,%,,,,,
Philippines,7.3714,0,3.4748,1.0544,1.6045,18.887,0.0275,0.5684,11.9281,0.3576,6,13.3,0.488698771,0.010138619,0.44575702,0.032803132,109581000,%,,,,,
Poland,12.3719,0,1.6183,0.7141,0.4851,13.3072,0,5.86,13.9747,0.2639,25.6,<2.5,4.02817452,0.101631568,3.392334758,0.534208194,38368000,%,,,,,
Portugal,9.5983,0,2.1808,0.7993,1.0267,10.3459,0.0138,4.5442,18.0803,0.2825,23.2,<2.5,7.429605071,0.13607021,5.84683569,1.446699171,10255000,%,,,,,
Republic of Moldova,6.8551,0,2.557,1.5517,0.6921,9.7764,0.0656,7.5326,18.8388,0.357,20.1,NA,4.646195191,0.099858557,4.333691655,0.212644979,3535000,%,,,,,
Romania,6.8987,0,2.5519,1.5914,0.1994,7.9894,0.0366,10.6349,16.512,0.4477,24.5,<2.5,3.863328309,0.097754794,3.583358453,0.182215062,19241000,%,,,,,
Russian Federation,7.2,0,1.6511,1.9603,0.9415,10.8433,0.0091,6.8453,18.3753,0.2638,25.7,<2.5,2.663104414,0.051120062,2.316142245,0.295842108,146733000,%,,,,,
Rwanda,1.0364,0,4.8545,0.1636,0.6364,5.2182,0.0182,3.7818,15.5091,0.2545,4.8,36.8,0.12613496,0.001675417,0.093012662,0.031446881,12952000,%,,,,,
Saint Kitts and Nevis,4.737,0,2.0602,0.56,0.7296,14.3547,0.1439,3.7916,19.0043,0.1233,23.1,NA,0.074074074,0,0.066666667,0.007407407,54000,%,,,,,
Saint Lucia,3.813,0,1.6712,0.5249,1.5867,22.8778,0.1629,4.3137,9.6531,0.1508,19.8,NA,0.996153846,0.00989011,0.480769231,0.505494505,182000,%,,,,,
Saint Vincent and the Grenadines,1.085,0,4.3274,0.7589,0.715,17.529,0.2258,4.2521,15.3904,0.2509,23.8,5.7,1.082882883,0.002702703,0.361261261,0.718918919,111000,%,,,,,
Samoa,4.778,0.0036,1.5771,0.2227,1.8968,13.2418,0.0683,1.4693,8.3345,0.0431,45.5,2.7,0.001,0,0.001,0,2.00E+05,%,,,,,
Sao Tome and Principe,0.6241,0,2.9864,0.1074,1.4361,4.1809,0.0537,0.9731,17.1666,0.0738,10.6,7,0.643333333,0.008571429,0.504761905,0.13,210000,%,,,,,
Saudi Arabia,2.6475,0,5.2126,0.9019,0.4122,6.9243,0.0873,4.4125,25.4182,0.1891,35,7.1,1.055794641,0.018255758,1.030898091,0.006640792,35041000,%,,,,,
Senegal,0.7876,0,5.7374,0.258,0.7129,3.2319,0.0068,0.9845,33.0391,0.1901,7.4,11.3,0.170144529,0.004031295,0.139106546,0.027006689,16744000,%,,,,,
Serbia,4.0698,0,2.1213,1.5195,0.3396,18.1385,0.006,8.7594,10.1061,0.3635,23.5,5.7,5.840908438,0.059105936,0,5.781802501,6957000,%,,,,,
Sierra Leone,0.1678,0,3.2063,0.2983,1.2117,2.0412,0.0373,2.1996,34.0479,0.2703,7.5,25.6,0.047285947,0.000990347,0.030738373,0.015557227,7977000,%,,,,,
Slovakia,14.9373,0,2.0003,1.1183,0.2331,5.8496,0.0095,3.2697,20.1474,0.1292,22.4,3.4,4.792640059,0.094013182,4.361424387,0.33720249,5462000,%,,,,,
Slovenia,10.0008,0,3.5771,1.1287,0.3693,8.5899,0.0622,6.4155,13.8684,0.2697,22.5,<2.5,8.235901094,0.171754636,7.312933904,0.751212553,2103000,%,,,,,
Solomon Islands,3.4726,0,3.0802,0.2943,2.5505,6.5431,0.0981,0.7553,11.752,0.0785,20.5,8.9,0.002377622,0,0.001398601,0.000979021,715000,%,,,,,
South Africa,0.8542,0,6.4308,1.0982,0.2379,14.1489,0,3.1056,21.7877,0.1647,27,6.2,2.471489904,0.077446837,2.248099886,0.145943181,59628000,%,,,,,
